Strain, Stress
0.000000000000000000e+00,0.000000000000000000e+00
3.061224489795918210e-03,3.658719205867421920e+01
6.122448979591836420e-03,8.664000000000000057e+01
9.183673469387754196e-03,1.342926403336718977e+02
1.224489795918367284e-02,1.724458567551931765e+02
1.530612244897959148e-02,2.086175796295689224e+02
1.836734693877550839e-02,2.440655689224803382e+02
2.142857142857142877e-02,2.767289308517310928e+02
2.448979591836734568e-02,3.090115149392681246e+02
2.755102040816326259e-02,3.379200805839766417e+02
3.061224489795918297e-02,3.669477773125811382e+02
3.367346938775510334e-02,3.964966267013934953e+02
3.673469387755101678e-02,4.224000000000000341e+02
3.979591836734693716e-02,4.530720347110956254e+02
4.285714285714285754e-02,4.799737104223103756e+02
4.591836734693877098e-02,5.067565451595728518e+02
4.897959183673469136e-02,5.348287686026471874e+02
5.204081632653061174e-02,5.616794290816035300e+02
5.510204081632652517e-02,5.886534894832909686e+02
5.816326530612244555e-02,6.134332774593465274e+02
6.122448979591836593e-02,6.391117007784988573e+02
6.428571428571427937e-02,6.649470581346294011e+02
6.734693877551020669e-02,6.888169713869640418e+02
7.040816326530612013e-02,7.130159929340409235e+02
7.346938775510203357e-02,7.357893875282775298e+02
7.653061224489796088e-02,7.592721167191388076e+02
7.959183673469387432e-02,7.795617648938930415e+02
8.265306122448978776e-02,8.001448461917971144e+02
8.571428571428571508e-02,8.207682743555524212e+02
8.877551020408162852e-02,8.389202753649710758e+02
9.183673469387754196e-02,8.573338486941217980e+02
9.489795918367346927e-02,8.757470355023308457e+02
9.795918367346938271e-02,8.931045817994187246e+02
1.010204081632652962e-01,9.093737956398473443e+02
1.040816326530612235e-01,9.253871757085915988e+02
1.071428571428571369e-01,9.400806669347263096e+02
1.102040816326530503e-01,9.534139358458686502e+02
1.132653061224489777e-01,9.673127790975985363e+02
1.163265306122448911e-01,9.800644175909759497e+02
1.193877551020408045e-01,9.912724456311341328e+02
1.224489795918367319e-01,1.002773964896591451e+03
1.255102040816326592e-01,1.013392334476392421e+03
1.285714285714285587e-01,1.024395373006329010e+03
1.316326530612244861e-01,1.032904557796087829e+03
1.346938775510204134e-01,1.040608390558801148e+03
1.377551020408163129e-01,1.048613742585573164e+03
1.408163265306122403e-01,1.055819094613154675e+03
1.438775510204081676e-01,1.062712223320604835e+03
1.469387755102040671e-01,1.068314899333990752e+03
1.499999999999999944e-01,1.072317575347792172e+03
